turbine ID, time interval, event code, event code description, wind speed, ambient temperature, rotor speed, power
T98, 00:00-0:10, 100, OK, 7.14, 0.324, 10.561, 1106.4532
T99, 00:00-0:10, 100, OK, 7.290937090143561, 0.5738958446085454, 10.760916675686836, 1136.4407013530254
T100, 00:00-0:10, 100, OK, 7.441496932655572, 0.8231671070456505, 10.96033368563652, 1166.353252845478
T101, 00:00-0:10, 100, OK, 7.5913031911849975, 1.0711907138824464, 11.158752571105957, 1196.1160856658935
T102, 00:00-0:10, 100, OK, 7.739981374442577, 1.3173466464281083, 11.355677317142487, 1225.654797571373
T103, 00:00-0:10, 100, OK, 7.88715997248888, 1.5610198220014573, 11.550615857601166, 1254.8955786401748
T104, 00:00-0:10, 100, OK, 8.032471053004265, 1.8016010811328889, 11.743080864906311, 1283.7653297359466
T105, 00:00-0:10, 100, OK, 8.175551363825798, 2.038489012956619, 11.932591210365295, 1312.1918815547942
T106, 00:00-0:10, 100, OK, 8.31604336798191, 2.271091668844223, 12.118673335075378, 1340.1042002613067
T107, 00:00-0:10, 100, OK, 8.453595963716506, 2.498827754497528, 12.300862203598022, 1367.4325305397033
T98, 00:10-0:20, 100, OK, 8.587865159511566, 2.7211277475357054, 12.478702198028564, 1394.1085297042846
T99, 00:10-0:20, 100, OK, 8.71851551413536, 2.9374362816810606, 12.651749025344849, 1420.0655538017272
T100, 00:10-0:20, 100, OK, 8.845220316648483, 3.147212444782257, 12.819569955825806, 1445.2386933738708
T101, 00:10-0:20, 100, OK, 8.96766293644905, 3.3499320139884947, 12.981745611190796, 1469.5650416786193
T102, 00:10-0:20, 100, OK, 9.085537363290786, 3.545088349819183, 13.137870679855347, 1492.983801978302
T103, 00:10-0:20, 100, OK, 9.198549107313156, 3.7321938862800597, 13.287555109024048, 1515.436466353607
T104, 00:10-0:20, 100, OK, 9.306415379047394, 3.9107804288864134, 13.43042434310913, 1536.8668514663696
T105, 00:10-0:20, 100, OK, 9.408866889476776, 4.0804021348953246, 13.56612170791626, 1557.221456187439
T106, 00:10-0:20, 100, OK, 9.505647310018539, 4.240634619235992, 13.694307695388794, 1576.449354308319
T107, 00:10-0:20, 100, OK, 9.596514892578124, 4.39107763671875, 13.814662109375, 1594.50251640625
T98, 00:20-0:30, 100, OK, 9.681242289543151, 4.531354784011841, 13.926883827209473, 1611.3357740814208
T99, 00:20-0:30, 100, OK, 9.759617993831634, 4.661115883827209, 14.030692707061768, 1626.907106059265
T100, 00:20-0:30, 100, OK, 9.831446338891983, 4.7800369849205016, 14.125829587936401, 1641.1776381904601
T101, 00:20-0:30, 100, OK, 9.896547138690948, 4.8878197660446165, 14.212055812835693, 1654.111571925354
T102, 00:20-0:30, 100, OK, 9.954758027791977, 4.984195410251617, 14.289156328201294, 1665.676649230194
T103, 00:20-0:30, 100, OK, 10.005933561325072, 5.068923114776611, 14.356938491821289, 1675.8439737731933
T104, 00:20-0:30, 100, OK, 10.049945755004883, 5.141790985107422, 14.415232788085937, 1684.5881182128905
T105, 00:20-0:30, 100, OK, 10.086684625148774, 5.20261692905426, 14.463893543243408, 1691.8872314865112
T106, 00:20-0:30, 100, OK, 10.116058188676835, 5.251248656749725, 14.50279892539978, 1697.723038809967
T107, 00:20-0:30, 100, OK, 10.137993183135986, 5.287564872741699, 14.53185189819336, 1702.0809847290038
